MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210727,AK,72.01,27.99,5.80,0.00,0.00,0.00,2021-07-27,2021-08-02,1
20210720,AK,70.77,29.23,8.03,0.00,0.00,0.00,2021-07-20,2021-07-26,1
20210713,AK,74.35,25.65,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210706,AK,74.35,25.65,0.00,0.00,0.00,0.00,2021-07-06,2021-07-12,1
20210629,AK,85.92,14.08,0.00,0.00,0.00,0.00,2021-06-29,2021-07-05,1
20210622,AK,85.92,14.08,0.00,0.00,0.00,0.00,2021-06-22,2021-06-28,1
20210615,AK,85.92,14.08,0.00,0.00,0.00,0.00,2021-06-15,2021-06-21,1
20210608,AK,85.92,14.08,0.00,0.00,0.00,0.00,2021-06-08,2021-06-14,1
20210601,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-06-01,2021-06-07,1
20210525,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-05-25,2021-05-31,1
20210518,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-05-18,2021-05-24,1
20210511,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-05-11,2021-05-17,1
20210504,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-05-04,2021-05-10,1
20210427,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-04-27,2021-05-03,1
20210420,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-04-20,2021-04-26,1
20210413,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-04-13,2021-04-19,1
20210406,AK,70.89,29.11,0.00,0.00,0.00,0.00,2021-04-06,2021-04-12,1
20210330,AK,65.33,34.67,0.00,0.00,0.00,0.00,2021-03-30,2021-04-05,1
20210323,AK,65.33,34.67,0.00,0.00,0.00,0.00,2021-03-23,2021-03-29,1
20210316,AK,65.33,34.67,0.00,0.00,0.00,0.00,2021-03-16,2021-03-22,1
20210309,AK,65.33,34.67,0.00,0.00,0.00,0.00,2021-03-09,2021-03-15,1
20210302,AK,78.80,21.20,0.00,0.00,0.00,0.00,2021-03-02,2021-03-08,1
20210223,AK,81.48,18.52,0.00,0.00,0.00,0.00,2021-02-23,2021-03-01,1
20210216,AK,81.48,18.52,0.00,0.00,0.00,0.00,2021-02-16,2021-02-22,1
